"TRAT" "REP" "PROD"
"21" "1" 1184
"21" "2" 1116
"21" "3" 1092
"21" "4" 996
"22" "1" 1406
"22" "2" 1332
"22" "3" 992
"22" "4" 1136
"23" "1" 1012
"23" "2" 952
"23" "3" 900
"23" "4" 1126
"24" "1" 890
"24" "2" 894
"24" "3" 792
"24" "4" 1018
"25" "1" 1220
"25" "2" 1274
"25" "3" 1630
"25" "4" 1442
"26" "1" 1396
"26" "2" 1420
"26" "3" 1300
"26" "4" 1178
"27" "1" 1526
"27" "2" 1568
"27" "3" 1346
"27" "4" 1274
"28" "1" 1940
"28" "2" 1382
"28" "3" 1354
"28" "4" 1608
"29" "1" 1766
"29" "2" 1536
"29" "3" 1818
"29" "4" 1840
"30" "1" 1582
"30" "2" 1382
"30" "3" 1220
"30" "4" 1344
"31" "1" 1708
"31" "2" 1666
"31" "3" 1490
"31" "4" 1518
"32" "1" 1742
"32" "2" 2060
"32" "3" 1596
"32" "4" 2168
"33" "1" 1610
"33" "2" 2246
"33" "3" 1918
"33" "4" 2030
"34" "1" 1926
"34" "2" 1362
"34" "3" 2140
"34" "4" 1962
"35" "1" 1306
"35" "2" 1488
"35" "3" 1356
"35" "4" 1578
"36" "1" 2364
"36" "2" 2068
"36" "3" 1964
"36" "4" 1696
"37" "1" 1450
"37" "2" 1280
"37" "3" 1644
"37" "4" 1450
"38" "1" 2192
"38" "2" 1722
"38" "3" 1700
"38" "4" 1588
"39" "1" 1146
"39" "2" 996
"39" "3" 756
"39" "4" 872
"40" "1" 1424
"40" "2" 1712
"40" "3" 1512
"40" "4" 1650
